unity_time;FPS
0.000;172.71
0.100;195.97
0.200;195.89
0.300;199.52
0.400;200.89
0.500;196.24
0.600;206.59
0.700;207.08
0.800;203.16
0.900;207.47
1.000;206.28
1.100;207.05
1.200;210.18
1.300;207.42
1.400;201.98
1.500;203.69
1.600;200.84
1.700;173.17
1.800;182.27
1.900;166.35
2.000;191.96
2.100;174.38
2.200;192.56
2.300;201.80
2.400;202.40
2.500;203.33
2.600;182.02
2.700;198.52
2.800;193.79
2.900;208.29
3.000;208.44
3.100;212.84
3.200;213.98
3.300;214.14
3.400;203.04
3.500;211.41
3.600;218.69
3.700;217.06
3.800;215.29
3.900;210.10
4.000;212.93
4.100;187.56
4.200;188.27
4.300;216.97
4.400;211.39
4.500;199.39
4.600;216.39
4.700;218.12
4.800;218.58
4.900;219.01
5.000;219.21
5.100;220.41
5.200;218.75
5.300;219.81
5.400;213.51
5.500;216.44
5.600;219.28
5.700;202.35
5.800;198.90
5.900;186.93
6.000;190.51
6.100;203.32
6.200;204.61
6.300;217.10
6.400;223.50
6.500;220.98
6.600;211.93
6.700;207.51
6.800;217.53
6.900;218.56
7.000;200.89
7.100;200.89
7.200;200.89
7.300;192.21
7.400;215.09
7.500;214.50
7.600;213.58
7.700;206.24
7.800;207.79
7.900;208.19
8.000;213.61
8.100;211.22
8.200;225.33
8.300;228.15
8.400;193.89
8.500;208.32
8.600;218.98
8.700;222.02
8.800;225.33
8.900;224.43
9.000;222.44
9.100;226.18
9.200;231.89
9.300;228.34
9.400;220.82
9.500;228.23
9.600;231.17
9.700;224.91
9.800;228.73
9.900;231.82
10.000;226.69
10.100;233.93
10.200;227.91
10.300;225.05
10.400;235.80
10.500;233.63
10.600;231.22
10.700;230.61
10.800;228.22
10.900;233.31
11.000;228.67
11.100;221.51
11.200;218.48
11.300;229.69
11.400;231.97
11.500;230.55
11.600;228.30
11.700;158.56
11.800;183.78
11.900;221.25
12.000;224.95
12.100;224.00
12.200;223.46
12.300;223.10
12.400;224.71
12.500;226.49
12.600;227.92
12.700;227.63
12.800;223.83
12.900;231.10
13.000;227.59
13.100;223.77
13.200;224.55
13.300;228.87
13.400;230.53
13.500;223.31
13.600;219.47
13.700;216.65
13.800;218.58
13.900;220.29
14.000;217.07
14.100;205.23
14.200;199.46
14.300;206.68
14.400;212.00
14.500;211.29
14.600;214.98
14.700;218.38
14.800;208.58
14.900;217.19
15.000;217.16
15.100;216.47
15.200;217.95
15.300;221.27
15.400;220.99
15.500;217.69
15.600;219.33
15.700;214.12
15.800;202.60
15.900;204.50
16.000;209.03
16.100;206.28
16.200;202.14
16.300;200.83
16.400;215.58
16.500;211.61
16.600;205.29
16.700;215.01
16.800;210.07
16.900;201.42
17.000;205.25
17.100;215.66
17.200;221.20
17.300;209.78
17.400;207.06
17.500;209.07
17.600;215.52
17.700;215.88
17.800;207.05
17.900;204.15
18.000;202.24
18.100;202.61
18.200;204.96
18.300;204.75
18.400;202.47
18.500;180.61
18.600;204.71
18.700;201.31
18.800;206.50
18.900;205.19
19.000;198.15
19.100;219.78
19.200;222.49
19.300;223.25
19.400;227.50
19.500;222.04
19.600;215.21
19.700;225.79
19.800;227.80
19.900;226.37
20.000;215.60
20.100;203.65
20.200;211.60
20.300;205.92
20.400;216.96
20.500;201.16
20.600;212.32
20.700;219.41
20.800;217.67
20.900;218.52
21.000;209.99
21.100;219.31
21.200;222.50
21.300;219.90
21.400;215.14
21.500;218.84
21.600;220.77
21.700;218.02
21.800;217.97
21.900;212.61
22.000;215.25
22.100;213.20
22.200;220.28
22.300;220.44
22.400;214.30
22.500;211.76
22.600;220.84
22.700;220.13
22.800;220.45
22.900;218.42
23.000;224.66
23.100;215.30
23.200;217.33
23.300;220.69
23.400;217.25
23.500;223.03
23.600;214.95
23.700;213.75
23.800;215.09
23.900;217.66
24.000;218.40
24.100;221.05
24.200;223.35
24.300;219.32
24.400;217.77
24.500;222.37
24.600;221.34
24.700;224.96
24.800;219.92
24.900;225.35
25.000;218.57
25.100;225.65
25.200;221.39
25.300;223.78
25.400;224.33
25.500;225.45
25.600;211.84
25.700;221.62
25.800;220.00
25.900;221.42
26.000;225.69
26.100;217.81
26.200;225.70
26.300;209.95
26.400;216.18
26.500;218.83
26.600;210.25
26.700;218.89
26.800;210.14
26.900;206.75
27.000;216.68
27.100;216.00
27.200;215.29
27.300;218.58
27.400;208.09
27.500;214.16
27.600;218.03
27.700;218.94
27.800;210.32
27.900;220.74
28.000;212.26
28.100;214.63
28.200;216.95
28.300;216.85
28.400;217.23
28.500;219.13
28.600;185.28
28.700;203.67
28.800;215.29
28.900;212.32
29.000;216.79
29.100;217.46
29.200;216.98
29.300;215.74
29.400;198.11
29.500;211.03
29.600;211.01
29.700;217.05
29.800;211.74
29.900;207.59
30.000;215.68
30.100;217.39
30.200;213.94
30.300;210.70
30.400;217.21
30.500;219.74
30.600;211.82
30.700;202.20
30.800;204.94
30.900;209.84
31.000;210.52
31.100;208.72
31.200;219.17
31.300;206.48
31.400;216.16
31.500;208.04
31.600;216.94
31.700;219.09
31.800;207.75
31.900;209.98
32.000;210.07
32.100;210.91
32.200;208.11
32.300;212.44
32.400;210.99
32.500;212.37
32.600;196.27
32.700;202.39
32.800;209.17
32.900;212.37
33.000;205.27
33.100;202.51
33.200;206.69
33.300;204.75
33.400;211.50
33.500;213.42
33.600;204.67
33.700;209.53
33.800;204.24
33.900;210.10
34.000;214.53
34.100;204.96
34.200;200.51
34.300;203.51
34.400;204.47
34.500;204.32
34.600;204.19
34.700;205.68
34.800;209.33
34.900;217.51
35.000;206.31
35.100;210.37
35.200;207.26
35.300;203.32
35.400;200.13
35.500;212.32
35.600;208.73
35.700;205.91
35.800;209.62
35.900;210.65
36.000;203.21
36.100;210.64
36.200;200.52
36.300;215.11
36.400;213.43
36.500;215.34
36.600;201.94
36.700;215.68
36.800;216.55
36.900;211.75
37.000;208.81
37.100;215.04
37.200;214.52
37.300;205.46
37.400;208.80
37.500;202.94
37.600;213.56
37.700;210.74
37.800;212.40
37.900;211.93
38.000;199.31
38.100;212.80
38.200;211.66
38.300;207.69
38.400;209.32
38.500;205.86
38.600;208.79
38.700;179.83
38.800;208.45
38.900;201.45
39.000;203.92
39.100;212.19
39.200;202.66
39.300;205.92
39.400;204.83
39.500;215.42
39.600;212.21
39.700;171.75
39.800;132.98
39.900;199.62
40.000;206.32
40.100;210.02
40.200;210.72
40.300;211.39
40.400;206.52
40.500;198.27
40.600;213.37
40.700;209.10
40.800;204.62
40.900;213.58
41.000;211.36
41.100;207.89
41.200;204.10
41.300;212.16
41.400;211.08
41.500;205.91
41.600;200.59
41.700;197.78
41.800;195.61
41.900;204.53
42.000;204.06
42.100;203.13
42.200;207.39
42.300;207.94
42.400;191.15
42.500;198.06
42.600;196.88
42.700;192.49
42.800;202.62
42.900;205.18
43.000;206.51
43.100;195.36
43.200;196.10
43.300;196.48
43.400;201.02
43.500;196.54
43.600;187.38
43.700;205.02
43.800;207.66
43.900;201.71
44.000;204.84
44.100;203.96
44.200;205.01
44.300;207.22
44.400;208.33
44.500;206.72
44.600;201.24
44.700;196.54
44.800;205.73
44.900;209.92
45.000;204.45
45.100;196.31
45.200;195.18
45.300;203.84
45.400;211.63
45.500;207.83
45.600;206.21
45.700;205.37
45.800;210.80
45.900;214.47
46.000;208.67
46.100;198.25
46.200;204.53
46.300;200.10
46.400;194.72
46.500;200.52
46.600;199.04
46.700;196.01
46.800;194.87
46.900;205.54
47.000;210.60
47.100;206.80
47.200;210.46
47.300;203.86
47.400;204.19
47.500;202.89
47.600;203.97
47.700;206.28
47.800;213.14
47.900;202.55
48.000;193.74
48.100;201.49
48.200;203.84
48.300;201.34
48.400;207.69
48.500;206.53
48.600;207.91
48.700;207.57
48.800;173.19
48.900;203.68
49.000;194.47
49.100;194.44
49.200;198.11
49.300;206.29
49.400;211.41
49.500;185.10
49.600;184.94
49.700;188.56
49.800;179.93
49.900;188.96
50.000;189.62
50.100;195.21
50.200;186.06
50.300;191.81
50.400;196.77
50.500;195.54
50.600;199.38
50.700;196.81
50.800;193.72
50.900;191.15
51.000;193.40
51.100;205.25
51.200;205.74
51.300;196.01
51.400;193.33
51.500;196.04
51.600;194.33
51.700;200.12
51.800;201.96
51.900;193.68
52.000;203.26
52.100;199.14
52.200;197.18
52.300;204.91
52.400;205.67
52.500;196.55
52.600;199.94
52.700;201.93
52.800;199.58
52.900;192.90
53.000;186.76
53.100;198.05
53.200;206.34
53.300;200.95
53.400;201.43
53.500;202.11
53.600;194.24
53.700;193.77
53.800;192.49
53.900;201.80
54.000;196.98
54.100;202.96
54.200;196.09
54.300;197.83
54.400;194.48
54.500;197.46
54.600;198.56
54.700;202.15
54.800;198.35
54.900;195.11
55.000;188.10
55.100;189.92
55.200;191.65
55.300;197.23
55.400;203.95
55.500;189.60
55.600;191.37
55.700;202.28
55.800;194.69
55.900;204.05
56.000;195.84
56.100;195.57
56.200;197.51
56.300;203.39
56.400;195.40
56.500;194.55
56.600;201.77
56.700;207.04
56.800;198.34
56.900;202.14
57.000;187.90
57.100;205.65
57.200;202.33
57.300;196.69
